Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,312113,183175,61482,719156,117765,47552,48195,202399,3559888,81172,27708,188513,119184,151911,39891,151798,158648,1214189,48764,697670,104108
500,33667289,177448,33035,138389,96025,45134,77418,848704,235661,84891,25626,689569,100786,697298,36549,734919,168971,3437589,41897,2182064,340429
750,276226,44487438,40850,136131,94078,42175,66471,1670378,213538,90536,25870,1353169,101278,1248853,36489,1295696,163738,5585385,39461,3547977,572210
1000,261868,166975,41154,131339,95665,44955,61929,2559657,206418,96481,25978,1895617,123265,1899790,40073,1824959,100989,7736725,35142,4973228,877187
1250,280684,140629,41350,130497,107606,41802,55523,3328263,266829,95005,26188,2388477,137678,2751637,40587,2339385,224698,10013965,49763,6339471,1035711
1500,280919,128802,41547,131827,110838,40208,57318,4060605,196287,104314,45822,2911041,144289,3608955,41486,2840467,109061,12179005,33600,7812083,1231131
1750,280369,134685,43497,124978,107597,39047,57635,4740319,269528,102602,29745,3409397,137369,4399552,44844,3365381,98485,14362561,31243,9210342,1508173
2000,281769,181408,44774,123737,109897,40026,58080,5398225,208797,105416,29843,3920623,184913,5108967,44860,3889097,100110,16522850,30189,10617781,1671646
2250,281922,142466,43855,128522,119881,95963,53589,6090651,218179,106993,30186,4445952,147450,5861311,46745,4419681,398394,18943103,30376,11879135,1891819
2500,300916,144810,45231,124872,119016,38268,57422,6681900,488227,111951,23371,4954930,145081,6491196,40320,4998270,109769,21160076,29876,13496321,2154293
2750,299021,153675,45271,122039,118456,34688,56197,7323884,196838,113803,18026,5509198,141727,7054949,44661,5468031,103973,23148295,28947,14863331,2355328
3000,306271,154836,44224,120186,121819,39785,56604,8044039,202514,109622,18046,6057646,144424,7658565,46434,6053827,109736,25352164,27654,16344970,2564235
3250,319432,163788,43960,116067,121388,37278,59303,8633220,208044,116612,18034,6510300,138746,8339903,50955,6559585,99411,27501501,29882,17705014,2770741
3500,327021,172612,43896,114425,117921,40874,60259,9359506,219110,112715,18177,7048817,143001,9000049,56077,7106516,103921,29824449,29957,19074514,3040867
